before_path,after_path,category,action,protected,before_hash,after_hash
PHASE_E_SHEETS_SPEC.md,PHASE_E_SHEETS_SPEC.md,1. living docs,KEEP,yes,3515a90aab40f55d5f48265e1f6f3cb7b222d88b,3515a90aab40f55d5f48265e1f6f3cb7b222d88b
PIXEL_VS_JSON.md,PIXEL_VS_JSON.md,1. living docs,KEEP,no,bd54a9bc573978c9b8607ff5c1b7cccd04afb2c5,bd54a9bc573978c9b8607ff5c1b7cccd04afb2c5
PROJECT_CONTEXT.md,PROJECT_CONTEXT.md,1. living docs,UPDATE,no,30ba66b80756fd264cc6ed0a9559b73da90204bd,1c73743bb31cf4028fede44b5c0e32f4af1ed53f
PROJECT_INFO.md,PROJECT_INFO.md,1. living docs,UPDATE_THEN_POST_CLEANUP_RELEASE_UPDATE,yes,1d3cc1f5b93abc85d6e768874c7fc9087b81dce5,39e17ecc2fa81cfd7f97c0d00a175ec4c0d6dbf5
README.md,README.md,1. living docs,KEEP,yes,06fb9ba40a73a2f32d4aec05d7048f8ba9a84553,06fb9ba40a73a2f32d4aec05d7048f8ba9a84553
STRUCTURAL_IMPLICIT_WAVE_BUILD_STATUS_2026-07-14.md,docs/history/waves/2026-07-14/STRUCTURAL_IMPLICIT_WAVE_BUILD_STATUS_2026-07-14.md,2. historical record,MOVE,yes,b1cf17c7c5f742cf9e152732076811b1c9a8120e,b1cf17c7c5f742cf9e152732076811b1c9a8120e
TASKS.md,TASKS.md,1. living docs,KEEP,no,a8e14c53d41dfabe205c59b76ae71ab602afb1b1,a8e14c53d41dfabe205c59b76ae71ab602afb1b1
WALKTHROUGH.md,WALKTHROUGH.md,1. living docs,KEEP,no,6c42d559ca0d8f12d99d8bca0f0b910af4122784,6c42d559ca0d8f12d99d8bca0f0b910af4122784
WAVE_PHASE_D_2026-07-14.md,docs/history/waves/2026-07-14/WAVE_PHASE_D_2026-07-14.md,2. historical record,MOVE,yes,c796cd8480e24e331daea30fce71d665c8d5ddf7,c796cd8480e24e331daea30fce71d665c8d5ddf7
WAVE_STRUCTURAL_IMPLICIT_PROPOSAL_2026-07-14.md,docs/history/waves/2026-07-14/WAVE_STRUCTURAL_IMPLICIT_PROPOSAL_2026-07-14.md,2. historical record,MOVE,yes,a8560afe5429ad07c1c0de1e3f25f4b97eed80e5,a8560afe5429ad07c1c0de1e3f25f4b97eed80e5
WAVE_THIN_CORE_2026-07-14.md,docs/history/waves/2026-07-14/WAVE_THIN_CORE_2026-07-14.md,2. historical record,MOVE,no,e6daa0e526dbe84399346056377b075aabd00e90,e6daa0e526dbe84399346056377b075aabd00e90
WAVE_THIN_VEIN_2026-07-13.md,docs/history/waves/2026-07-13/WAVE_THIN_VEIN_2026-07-13.md,2. historical record,MOVE,yes,557af4ee6ffbd8efb7448f0d437113ea4d0b0f15,557af4ee6ffbd8efb7448f0d437113ea4d0b0f15
agents/__init__.py,agents/__init__.py,4. code/tests/assets,KEEP,no,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
agents/_llm_retry.py,agents/_llm_retry.py,4. code/tests/assets,KEEP,no,be828fccdfe858225dae813bd30b3e593e1a8a0d,be828fccdfe858225dae813bd30b3e593e1a8a0d
agents/llm_agent.py,agents/llm_agent.py,4. code/tests/assets,KEEP,no,4ce83706036c53a467532ec8852cd701d1c08c80,4ce83706036c53a467532ec8852cd701d1c08c80
agents/openai_agent.py,agents/openai_agent.py,4. code/tests/assets,KEEP,no,8f9ba5a8ed5eabfa4bd401587c0eff7c68bc62a7,8f9ba5a8ed5eabfa4bd401587c0eff7c68bc62a7
agents/openai_coord_agent.py,agents/openai_coord_agent.py,4. code/tests/assets,KEEP,no,2d60cb65535742d733504b21d8f0a6a7b6db26ab,2d60cb65535742d733504b21d8f0a6a7b6db26ab
agents/openai_pixel_agent.py,agents/openai_pixel_agent.py,4. code/tests/assets,KEEP,no,14e2686f938195a66b5d06f973bd8280d9f23699,14e2686f938195a66b5d06f973bd8280d9f23699
agents/oracle_agent.py,agents/oracle_agent.py,4. code/tests/assets,KEEP_THEN_POST_CLEANUP_SAFETY_FIX,yes,3e6c930a54862b0c8b33db9b0f61a27ba5ff4417,f9e869f14148e105b519138852edfe9859323a9f
agents/oracle_agent.py.precset2.bak,,6. local/temp/process,DELETE,no,935b36d5aa68fc0733521f5f4f213f4385f40ea5,
agents/oracle_agent.py.prediv.bak,,6. local/temp/process,DELETE,no,2c070dc17fc3ad403eb389567e0a8d952634df11,
agents/pixel_agent.py,agents/pixel_agent.py,4. code/tests/assets,KEEP,no,ef058c35be8f286d77068c37459809df3315060a,ef058c35be8f286d77068c37459809df3315060a
agents/pixel_coord_agent.py,agents/pixel_coord_agent.py,4. code/tests/assets,KEEP,no,c293b0ece2aac79edcc0923f823a06fdf0091fc4,c293b0ece2aac79edcc0923f823a06fdf0091fc4
agents/qwen_agent.py,agents/qwen_agent.py,4. code/tests/assets,KEEP,no,49ef14e85e95e03b34ad0d6ab3378bc866246379,49ef14e85e95e03b34ad0d6ab3378bc866246379
demos/B2_track_and_return_seed0.webm,demos/B2_track_and_return_seed0.webm,4. code/tests/assets,KEEP,no,91341f23997e2dd227401f53f5df7671b382df5c,91341f23997e2dd227401f53f5df7671b382df5c
demos/B3_account_overhaul_seed0.webm,demos/B3_account_overhaul_seed0.webm,4. code/tests/assets,KEEP,no,71993c90ab87b4a134be2a0fccc763d326c27d7d,71993c90ab87b4a134be2a0fccc763d326c27d7d
demos/C1_promo_partial_seed0.webm,demos/C1_promo_partial_seed0.webm,4. code/tests/assets,KEEP,no,d4806d416d5c9b15f817cf2d954c3acf23ccce81,d4806d416d5c9b15f817cf2d954c3acf23ccce81
demos/C3_subscription_loyalty_seed0.webm,demos/C3_subscription_loyalty_seed0.webm,4. code/tests/assets,KEEP,no,ee6e3d221a12f88760025e8eb1d874a0535462dc,ee6e3d221a12f88760025e8eb1d874a0535462dc
docs/history/CURSOR_SIM_INTEGRATION.md,docs/history/CURSOR_SIM_INTEGRATION.md,2. historical record,KEEP,no,6bc68b49a77f5d15ba7d29036acbfc7698127879,6bc68b49a77f5d15ba7d29036acbfc7698127879
docs/history/DIFFERENTIATOR_ANALYSIS.md,docs/history/DIFFERENTIATOR_ANALYSIS.md,2. historical record,KEEP,no,5204902d6d66de94b93648125570b08eb1e86194,5204902d6d66de94b93648125570b08eb1e86194
docs/history/HAIKU_ROBUSTNESS_M24-26.md,docs/history/HAIKU_ROBUSTNESS_M24-26.md,2. historical record,KEEP,no,8f359166961c06c521bf46ee92763e4f01008912,8f359166961c06c521bf46ee92763e4f01008912
docs/history/HARNESS_AUDIT_REPORT.md,docs/history/HARNESS_AUDIT_REPORT.md,2. historical record,KEEP,no,f4f923d4ef9539a60d1af141c544795591db319d,f4f923d4ef9539a60d1af141c544795591db319d
docs/history/INDUSTRY_ALIGNMENT.md,docs/history/INDUSTRY_ALIGNMENT.md,2. historical record,KEEP,no,4ac70b7461465d4574ea16986b84335b0c0b7981,4ac70b7461465d4574ea16986b84335b0c0b7981
docs/history/LEADERBOARD.md,docs/history/LEADERBOARD.md,2. historical record,KEEP,no,a9751790fb23c55c8fe06cccb855b4265a4b8a66,a9751790fb23c55c8fe06cccb855b4265a4b8a66
docs/history/LIVE_HARNESS_SPIKE.md,docs/history/LIVE_HARNESS_SPIKE.md,2. historical record,KEEP,no,0e3846a02320006bd33e2f7e612edb800753709a,0e3846a02320006bd33e2f7e612edb800753709a
docs/history/M13_FAILURE_WRITEUP.md,docs/history/M13_FAILURE_WRITEUP.md,2. historical record,KEEP,no,ad64c86a0ef0d5d42e606dd2de0a325985b8aa44,ad64c86a0ef0d5d42e606dd2de0a325985b8aa44
docs/history/NEW_MECHANISM_RESEARCH.md,docs/history/NEW_MECHANISM_RESEARCH.md,2. historical record,KEEP,no,36674723d341ea4b3dde10c4807966130c0711ed,36674723d341ea4b3dde10c4807966130c0711ed
docs/history/OVERNIGHT_BUILD_LOG.md,docs/history/OVERNIGHT_BUILD_LOG.md,2. historical record,KEEP,no,e2c20c92f83196631e7504b0296fcc3d0cb06b56,e2c20c92f83196631e7504b0296fcc3d0cb06b56
docs/history/OVERNIGHT_STAGING.md,docs/history/OVERNIGHT_STAGING.md,2. historical record,KEEP,no,5238c16b6309c5d6db3f13882b96fe8c20c8e77a,5238c16b6309c5d6db3f13882b96fe8c20c8e77a
docs/history/OVERNIGHT_STATUS.md,docs/history/OVERNIGHT_STATUS.md,2. historical record,KEEP,no,debda7bc7b07b206b77c517f88a7a76b478b200b,debda7bc7b07b206b77c517f88a7a76b478b200b
docs/history/PHASE1_FINDINGS.md,docs/history/PHASE1_FINDINGS.md,2. historical record,KEEP,no,9324e9d5a0f192967f3692adcac97f9302b96c2b,9324e9d5a0f192967f3692adcac97f9302b96c2b
docs/history/SCREENING_REPORT.md,docs/history/SCREENING_REPORT.md,2. historical record,KEEP,no,44dbcd81350dbafc0693c537ad163ff1043c1cb4,44dbcd81350dbafc0693c537ad163ff1043c1cb4
docs/history/VEIN_BOUNDARY_ANALYSIS.md,docs/history/VEIN_BOUNDARY_ANALYSIS.md,2. historical record,KEEP,no,e89f34cf5951bf80ba38544761cd97321156cd2d,e89f34cf5951bf80ba38544761cd97321156cd2d
docs/history/VEIN_BREAKER_FORENSICS.md,docs/history/VEIN_BREAKER_FORENSICS.md,2. historical record,KEEP,no,8f2f81ad366bf43c5e954ddb38d709b84410a746,8f2f81ad366bf43c5e954ddb38d709b84410a746
docs/history/archive/cascade_reports.tgz,docs/history/archive/cascade_reports.tgz,2. historical record,KEEP,no,c7e5f3a19913bd6c5215886c329f4c4d3b4395fd,c7e5f3a19913bd6c5215886c329f4c4d3b4395fd
docs/history/cross_model/CROSS_MODEL_BATCHES.md,docs/history/cross_model/CROSS_MODEL_BATCHES.md,2. historical record,KEEP,no,18edc406565a7255832bbd2d5d924c4d1ffc895a,18edc406565a7255832bbd2d5d924c4d1ffc895a
docs/history/cross_model/CROSS_MODEL_COMPARISON.md,docs/history/cross_model/CROSS_MODEL_COMPARISON.md,2. historical record,KEEP,no,8e42347dcae0e5e29357f6abcc07551d9594cef1,8e42347dcae0e5e29357f6abcc07551d9594cef1
docs/history/fairness_log_v2.md,docs/history/fairness_log_v2.md,2. historical record,KEEP,no,5ca1e057aba86559f7969e163d9c3fde9389f520,5ca1e057aba86559f7969e163d9c3fde9389f520
docs/history/specs/designed_catalogue_new_mechanisms.md,docs/history/specs/designed_catalogue_new_mechanisms.md,2. historical record,KEEP,no,5ffc1b665e9f4411e4ed7c723d20ad0b0b9e3306,5ffc1b665e9f4411e4ed7c723d20ad0b0b9e3306
docs/history/specs/designed_catalogue_new_surface.md,docs/history/specs/designed_catalogue_new_surface.md,2. historical record,KEEP,no,a5d6139867bb8c7da126a39fdda751f6fac507a6,a5d6139867bb8c7da126a39fdda751f6fac507a6
docs/history/specs/designed_longhorizon_specs.md,docs/history/specs/designed_longhorizon_specs.md,2. historical record,KEEP,no,895b1c0096a22da9d83d1f3fc58999e8676bbbc5,895b1c0096a22da9d83d1f3fc58999e8676bbbc5
docs/history/specs/designed_new_patterns.md,docs/history/specs/designed_new_patterns.md,2. historical record,KEEP,no,796c291cafe5cac01bfa4a521f7a2232bf8caf2e,796c291cafe5cac01bfa4a521f7a2232bf8caf2e
docs/history/specs/designed_new_patterns_v2.md,docs/history/specs/designed_new_patterns_v2.md,2. historical record,KEEP,no,6e75d203b36132fa564fe93756d868696fa7e249,6e75d203b36132fa564fe93756d868696fa7e249
docs/history/specs/designed_specs_M111_M120.md,docs/history/specs/designed_specs_M111_M120.md,2. historical record,KEEP,no,96ad96f511b72d65c14458a824fdbd502f41f044,96ad96f511b72d65c14458a824fdbd502f41f044
docs/history/specs/recovered_combination_candidates.md,docs/history/specs/recovered_combination_candidates.md,2. historical record,KEEP,no,c5ad5fbaa762685c123605c84b6f82c5b2badf82,c5ad5fbaa762685c123605c84b6f82c5b2badf82
ecommerce-browser-gym-MASTER-PREP.docx,ecommerce-browser-gym-MASTER-PREP.docx,4. code/tests/assets,KEEP,no,3ba2adf90115673836a0630339fdf704a88ab6d3,3ba2adf90115673836a0630339fdf704a88ab6d3
eval/__init__.py,eval/__init__.py,4. code/tests/assets,KEEP,no,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
eval/budget_watchdog.py,eval/budget_watchdog.py,4. code/tests/assets,KEEP,no,deabf2bcf729f6e5275834e0e3ff15bc332afc0c,deabf2bcf729f6e5275834e0e3ff15bc332afc0c
eval/cascade.py,eval/cascade.py,4. code/tests/assets,KEEP,no,8f69d94eac6e767b065c11fe62f11e703fc828cc,8f69d94eac6e767b065c11fe62f11e703fc828cc
eval/cascade_parallel.py,eval/cascade_parallel.py,4. code/tests/assets,KEEP,no,42dc54eb351fe9424f9b676ccde0f28eba02f0f4,42dc54eb351fe9424f9b676ccde0f28eba02f0f4
eval/cascade_v2.py,eval/cascade_v2.py,4. code/tests/assets,KEEP,no,46246f29696742e459c63d83bb89470a31f754ca,46246f29696742e459c63d83bb89470a31f754ca
eval/checkout_instrument_content.py,eval/checkout_instrument_content.py,4. code/tests/assets,POST_CLEANUP_RELEASE_UPDATE,yes,538c5504a1647380023598516603eed8e7097d13,4bb92de7a540920be1eef14a47c1232b3dc643bf
eval/compare.py,eval/compare.py,4. code/tests/assets,KEEP,no,3ad30baf4dfcdd00c249f91028e6b988dbfb0628,3ad30baf4dfcdd00c249f91028e6b988dbfb0628
eval/cost_tracker.py,eval/cost_tracker.py,4. code/tests/assets,KEEP,no,4db9b214aa3c68d47d25057f8977e9c2fd7b18e6,4db9b214aa3c68d47d25057f8977e9c2fd7b18e6
eval/cross_model_screen.py,eval/cross_model_screen.py,4. code/tests/assets,KEEP,no,95e19f45b12af1babf531cfe91fcca333a343c33,95e19f45b12af1babf531cfe91fcca333a343c33
eval/harvest_failures.py,eval/harvest_failures.py,4. code/tests/assets,KEEP,no,f537499f4e260f1059f7ac23204189ad71226df2,f537499f4e260f1059f7ac23204189ad71226df2
eval/label_coverage.py,eval/label_coverage.py,4. code/tests/assets,KEEP,no,cd273af0059ffa4730c95d97d618cf3147906c35,cd273af0059ffa4730c95d97d618cf3147906c35
eval/pass_k.py,eval/pass_k.py,4. code/tests/assets,KEEP,no,8fc9645a658062b01d19486772a88f9930b20adb,8fc9645a658062b01d19486772a88f9930b20adb
eval/recompute_headlines.py,eval/recompute_headlines.py,4. code/tests/assets,KEEP,no,1f2c85f30113dc4769c7c98b27f4fd6b2905ed57,1f2c85f30113dc4769c7c98b27f4fd6b2905ed57
eval/run.py,eval/run.py,4. code/tests/assets,KEEP,no,c9e11a84f36975644eb73625a33fb234ff9d0d02,c9e11a84f36975644eb73625a33fb234ff9d0d02
eval/run_screen.sh,eval/run_screen.sh,4. code/tests/assets,KEEP,no,128b70bc0a5ab440d628189aaf024707cb5ed4f7,128b70bc0a5ab440d628189aaf024707cb5ed4f7
eval/sol_opus_forensic.py,eval/sol_opus_forensic.py,4. code/tests/assets,KEEP,no,d0cb165baadf9f9a1398606c1994469d2fb9db8f,d0cb165baadf9f9a1398606c1994469d2fb9db8f
eval/validate_judge.py,eval/validate_judge.py,4. code/tests/assets,KEEP,no,fd2f66373242a7b2b5c0661f619c3a043f3a934f,fd2f66373242a7b2b5c0661f619c3a043f3a934f
eval/wf_mechanism_research.mjs,eval/wf_mechanism_research.mjs,4. code/tests/assets,KEEP,no,f23552c268299d86e31d3f2303e56ce26b9857ad,f23552c268299d86e31d3f2303e56ce26b9857ad
harness/__init__.py,harness/__init__.py,4. code/tests/assets,KEEP,no,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
harness/facts.py,harness/facts.py,4. code/tests/assets,KEEP,no,b4cd953eefae2284c0067092aace9e958becab67,b4cd953eefae2284c0067092aace9e958becab67
harness/facts.py.precset2.bak,,6. local/temp/process,DELETE,no,a5c3f40f87f295ee02223fc5029827c5ba32186b,
harness/facts.py.prediv.bak,,6. local/temp/process,DELETE,no,b4cd953eefae2284c0067092aace9e958becab67,
harness/failure_classifier.py,harness/failure_classifier.py,4. code/tests/assets,KEEP,no,57614886d206100a7346af76170ead44fceaad90,57614886d206100a7346af76170ead44fceaad90
harness/runner.py,harness/runner.py,4. code/tests/assets,KEEP,no,e2dd62fe1c5d1d923e96ba24e796decf3d655d07,e2dd62fe1c5d1d923e96ba24e796decf3d655d07
harness/som.py,harness/som.py,4. code/tests/assets,KEEP,no,1251800dff5d0a6858f398dececff299656a71d7,1251800dff5d0a6858f398dececff299656a71d7
pyproject.toml,pyproject.toml,4. code/tests/assets,KEEP,no,68e476bec9d831bb530f68966e6a8d2b7934dee4,68e476bec9d831bb530f68966e6a8d2b7934dee4
scripts/generate_prep_doc.py,scripts/generate_prep_doc.py,4. code/tests/assets,KEEP,no,09aabb5cebea79f30684dd843bce4018877d56d4,09aabb5cebea79f30684dd843bce4018877d56d4
scripts/query_trajectories.py,scripts/query_trajectories.py,4. code/tests/assets,KEEP,no,9c64ce33dc4dc25a7a1920e6c07b9e369ef584ec,9c64ce33dc4dc25a7a1920e6c07b9e369ef584ec
scripts/start_server.sh,scripts/start_server.sh,4. code/tests/assets,KEEP,no,69ecdbcf323e7bef1a254c010c5a4e35e1564364,69ecdbcf323e7bef1a254c010c5a4e35e1564364
server/__init__.py,server/__init__.py,4. code/tests/assets,KEEP,no,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
server/apps/__init__.py,server/apps/__init__.py,4. code/tests/assets,KEEP,yes,dffc7228f8995b288f346aeb6d3ecc7d14a21cf8,dffc7228f8995b288f346aeb6d3ecc7d14a21cf8
server/apps/bus.py,server/apps/bus.py,4. code/tests/assets,KEEP,yes,22525faac997c1b0e2e6bf3af55a96ea1954192f,22525faac997c1b0e2e6bf3af55a96ea1954192f
server/apps/calendar/__init__.py,server/apps/calendar/__init__.py,4. code/tests/assets,KEEP,yes,aeca6b3129011ba40076db16eac246cbe70d12c5,aeca6b3129011ba40076db16eac246cbe70d12c5
server/apps/calendar/mutations.py,server/apps/calendar/mutations.py,4. code/tests/assets,KEEP,yes,ac12cd79e9c1c8b71bb1b4f05744f5a721904921,ac12cd79e9c1c8b71bb1b4f05744f5a721904921
server/apps/calendar/routes.py,server/apps/calendar/routes.py,4. code/tests/assets,KEEP,yes,faad2bba0aea3d2f3a85f0ed18c2828b9d855407,faad2bba0aea3d2f3a85f0ed18c2828b9d855407
server/apps/calendar/state.py,server/apps/calendar/state.py,4. code/tests/assets,KEEP,yes,8d75d7fe29c02366cf30f9d1d449a1ed8a8d2141,8d75d7fe29c02366cf30f9d1d449a1ed8a8d2141
server/apps/food/__init__.py,server/apps/food/__init__.py,4. code/tests/assets,KEEP,yes,9d2009b879362f898e41cbb6c5a0388fe8cf4d67,9d2009b879362f898e41cbb6c5a0388fe8cf4d67
server/apps/food/mutations.py,server/apps/food/mutations.py,4. code/tests/assets,KEEP,yes,9c51d4229152db8186b570c571e9c98628cd8be5,9c51d4229152db8186b570c571e9c98628cd8be5
server/apps/food/routes.py,server/apps/food/routes.py,4. code/tests/assets,KEEP,yes,d1f14e5fc2d6ff9bdf862f65ebceffc9f0ee618c,d1f14e5fc2d6ff9bdf862f65ebceffc9f0ee618c
server/apps/food/state.py,server/apps/food/state.py,4. code/tests/assets,KEEP,yes,372b8035eb17446d214fdf1bb3c148dd0ef43c43,372b8035eb17446d214fdf1bb3c148dd0ef43c43
server/apps/mail/__init__.py,server/apps/mail/__init__.py,4. code/tests/assets,KEEP,yes,a6dc2425a9960a780e89a9c096f8c0848b626d4d,a6dc2425a9960a780e89a9c096f8c0848b626d4d
server/apps/mail/inbound.py,server/apps/mail/inbound.py,4. code/tests/assets,KEEP,yes,0b428d53a607c89039b7cbb06307ab733ec96e1d,0b428d53a607c89039b7cbb06307ab733ec96e1d
server/apps/mail/mutations.py,server/apps/mail/mutations.py,4. code/tests/assets,KEEP,yes,3c85dd52628f9b61c27adacd0154d8c241660518,3c85dd52628f9b61c27adacd0154d8c241660518
server/apps/mail/routes.py,server/apps/mail/routes.py,4. code/tests/assets,KEEP,yes,b938ae9caff519bba3f37641c670787f5cf72580,b938ae9caff519bba3f37641c670787f5cf72580
server/apps/mail/state.py,server/apps/mail/state.py,4. code/tests/assets,KEEP,yes,b44c928e7bb054c8aa4a943821b1ccacfe37cb14,b44c928e7bb054c8aa4a943821b1ccacfe37cb14
server/apps/market/__init__.py,server/apps/market/__init__.py,4. code/tests/assets,KEEP,yes,b47679405c406fd998cc854c6061455cb4ff60d7,b47679405c406fd998cc854c6061455cb4ff60d7
server/apps/market/mutations.py,server/apps/market/mutations.py,4. code/tests/assets,KEEP,yes,0877d430891bf48c834879cfb5e94b653e649533,0877d430891bf48c834879cfb5e94b653e649533
server/apps/market/routes.py,server/apps/market/routes.py,4. code/tests/assets,KEEP,yes,4cdb9e6fe304a73ff6e61b470eb7d878810922f8,4cdb9e6fe304a73ff6e61b470eb7d878810922f8
server/apps/market/state.py,server/apps/market/state.py,4. code/tests/assets,KEEP,yes,472292ccea550ccbddae7643734407c567063a6c,472292ccea550ccbddae7643734407c567063a6c
server/apps/scheduler.py,server/apps/scheduler.py,4. code/tests/assets,KEEP,yes,7b3ec47f615df28252f5230003f3fa78932cd469,7b3ec47f615df28252f5230003f3fa78932cd469
server/apps/shop_hooks.py,server/apps/shop_hooks.py,4. code/tests/assets,KEEP,yes,ac11d6cae8f4fdd0d9b9d54a59246c892969c382,ac11d6cae8f4fdd0d9b9d54a59246c892969c382
server/apps/wiring.py,server/apps/wiring.py,4. code/tests/assets,KEEP,yes,757ff8307d1116e699006a54e017043b4c9d984d,757ff8307d1116e699006a54e017043b4c9d984d
server/apps/world.py,server/apps/world.py,4. code/tests/assets,KEEP,yes,e8023a36e5c26bdf349413c4c62f3363c3838b43,e8023a36e5c26bdf349413c4c62f3363c3838b43
server/catalog.py,server/catalog.py,4. code/tests/assets,KEEP,no,b71a2c027e85f4d91bb898f52bcd7ee7da37d59b,b71a2c027e85f4d91bb898f52bcd7ee7da37d59b
server/final_implicit_wave.py,server/final_implicit_wave.py,4. code/tests/assets,KEEP,yes,03b116592d83d40317d3dd76f75ad9d993423644,03b116592d83d40317d3dd76f75ad9d993423644
server/main.py,server/main.py,4. code/tests/assets,KEEP,no,25f1f669fc975274230d662394fc20826addd14a,25f1f669fc975274230d662394fc20826addd14a
server/mutations.py,server/mutations.py,4. code/tests/assets,KEEP,no,81e5f0e31d9a82236205209063982407cacdc336,81e5f0e31d9a82236205209063982407cacdc336
server/phase_d_batch2.py,server/phase_d_batch2.py,4. code/tests/assets,KEEP,no,a00e659b9921089ec3455d92dbac4f856426acb2,a00e659b9921089ec3455d92dbac4f856426acb2
server/phase_d_wave.py,server/phase_d_wave.py,4. code/tests/assets,KEEP,no,185e85e4317395a92e2370adf1217c3140609200,185e85e4317395a92e2370adf1217c3140609200
server/state.py,server/state.py,4. code/tests/assets,KEEP,no,0f6f025afbbf51919e5157f9e19e0d404d17d61d,0f6f025afbbf51919e5157f9e19e0d404d17d61d
server/tasks.py,server/tasks.py,4. code/tests/assets,KEEP,yes,7ce22ee7c0df31716542068768193ca994ac96ef,7ce22ee7c0df31716542068768193ca994ac96ef
server/tasks.py.prediv.bak,,6. local/temp/process,DELETE,no,5b010937cde10f93a0f1b33bd65f8fd816cc2872,
server/thin_vein_wave.py,server/thin_vein_wave.py,4. code/tests/assets,KEEP,no,0af2d8c9520c18f274ccc56cf353f4141accbc1c,0af2d8c9520c18f274ccc56cf353f4141accbc1c
server/verifiers.py,server/verifiers.py,4. code/tests/assets,KEEP,yes,34503aa4dede26040483e4fbdd49b5183557ed06,34503aa4dede26040483e4fbdd49b5183557ed06
server/verifiers.py.prediv.bak,,6. local/temp/process,DELETE,no,a0846edc3ba133478ff418f3fa432be5223694da,
